UNIQUE_KEY,PRODUCT_TITLE,STYLE#,CATEGORY_NAME,COLOR_NAME,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZENS_PRICE,CASE_PRICE,CASE_SIZE,INVENTORY_KEY,MILL,MSRP,FRONT_MODEL_IMAGE_URL,BACK_MODEL_IMAGE_URL,FRONT_FLAT_IMAGE_URL,BACK_FLAT_IMAGE_URL
34642,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Ash,S,1.5,15.1,15.1,13.1,24,3464,Jerzees,26.2,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Birch_Flat_Back_2010.jpg 
34643,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Ash,M,1.4,15.1,15.1,13.1,24,3464,Jerzees,26.2,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Birch_Flat_Back_2010.jpg 
34644,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Ash,L,1.49,15.1,15.1,13.1,24,3464,Jerzees,26.2,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Birch_Flat_Back_2010.jpg 
34645,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Ash,XL,1.63,15.1,15.1,13.1,24,3464,Jerzees,26.2,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_ash_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Birch_Flat_Back_2010.jpg 
34652,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Black,S,1.5,15.43,15.43,13.43,24,3465,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Black_Flat_Back_2010.jpg 
34653,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Black,M,1.4,15.43,15.43,13.43,24,3465,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Black_Flat_Back_2010.jpg 
34654,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Black,L,1.49,15.43,15.43,13.43,24,3465,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Black_Flat_Back_2010.jpg 
34655,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Black,XL,1.63,15.43,15.43,13.43,24,3465,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_black_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_Black_Flat_Back_2010.jpg 
34672,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Forest Green,S,1.5,15.43,15.43,13.43,24,3467,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_forestgreen_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_ForestGreen_Flat_Back_2010.jpg 
34673,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Forest Green,M,1.4,15.43,15.43,13.43,24,3467,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_forestgreen_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_ForestGreen_Flat_Back_2010.jpg 
34674,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Forest Green,L,1.49,15.43,15.43,13.43,24,3467,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_forestgreen_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_ForestGreen_Flat_Back_2010.jpg 
34675,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Forest Green,XL,1.63,15.43,15.43,13.43,24,3467,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_forestgreen_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_forestgreen_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_ForestGreen_Flat_Back_2010.jpg 
34682,JERZEES SUPER SWEATS NuBlend - Pullover Hooded Sweatshirt.  4997M,4997M,Sweatshirts/Fleece,Navy,S,1.5,15.43,15.43,13.43,24,3468,Jerzees,26.86,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_navy_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4997M_navy_model_back_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4997M_navy_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4997M_TrueNavy_Flat_Back_2010.jpg 
